DATE;HD;HF;UE;SALLE;COURS;PROFS
23/09/13;09:00:00;12:00:00;UE - ATDH;P8 A190;Video et Hypermedia;Bellos STAVROULA
23/09/13;12:00:00;15:00:00;;P8 A190;Reunion d'information;
30/09/13;09:00:00;12:00:00;UE - ATDH;P8 A190;Video et Hypermedia;Bellos STAVROULA
30/09/13;12:00:00;15:00:00;UE - AH;P8 A175;Base de Donnees, Multimedia et Indexation;Nasreddine BOUHAI
01/10/13;09:00:00;12:00:00;UE - AH;P8 A190;Theorie de Hypermedia;Philippe BOOTZ
01/10/13;12:00:00;15:00:00;UE - PERF;P8 A190;Langages Hypermedias;Samuel SZONIECK
01/10/13;15:00:00;17:30:00;UE - PERF;P8 A190;E-Services;Imad SALEH
02/10/13;09:00:00;12:00:00;UE - ATDH;P8 A190;Design & Hypermedia;Imad SALEH
02/10/13;12:00:00;15:00:00;UE - AH;P8 A190;Les Outils de Conduite de Projets;Khaldoun ZREIK
07/10/13;09:00:00;12:00:00;UE - ATDH;P8 A190;Video et Hypermedia;Bellos STAVROULA
07/10/13;12:00:00;15:00:00;UE - AH;P8 A175;Base de Donnees, Multimedia et Indexation;Nasreddine BOUHAI
08/10/13;09:00:00;12:00:00;UE - AH;P8 A190;Theorie de Hypermedia;Philippe BOOTZ
08/10/13;12:00:00;15:00:00;UE - PERF;P8 A190;Langages Hypermedias;Samuel SZONIECK
08/10/13;15:00:00;17:45:00;UE - PERF;P8 A190;E-Services;Imad SALEH
09/10/13;09:00:00;12:00:00;UE - ATDH;P8 A190;Design & Hypermedia;Imad SALEH
09/10/13;12:00:00;15:00:00;UE - AH;P8 A190;Les Outils de Conduite de Projets;Khaldoun ZREIK
14/10/13;09:00:00;12:00:00;UE - ATDH;P8 A190;Video et Hypermedia;Bellos STAVROULA
14/10/13;12:00:00;15:00:00;UE - AH;P8 A175;Base de Donnees, Multimedia et Indexation;Nasreddine BOUHAI
16/10/13;09:00:00;12:00:00;UE - PERF;CNAM;H2PTM;
16/10/13;12:00:00;15:00:00;UE - PERF;CNAM;H2PTM;
16/10/13;15:00:00;18:00:00;UE - PERF;CNAM;H2PTM;
17/10/13;09:00:00;12:00:00;UE - PERF;CNAM;H2PTM;
17/10/13;12:00:00;15:00:00;UE - PERF;CNAM;H2PTM;
17/10/13;15:00:00;18:00:00;UE - PERF;CNAM;H2PTM;
18/10/13;09:30:00;11:30:00;UE - PERF;CNAM;H2PTM;
18/10/13;13:30:00;14:30:00;UE - PERF;CNAM;H2PTM;
18/10/13;15:00:00;16:00:00;UE - PERF;CNAM;H2PTM;
21/10/13;09:30:00;12:00:00;UE - ATDH;P8 A190;Video et Hypermedia;Bellos STAVROULA
21/10/13;12:15:00;15:00:00;UE - AH;P8 A175;Base de Donnees, Multimedia et Indexation;Nasreddine BOUHAI
22/10/13;09:15:00;12:00:00;UE - AH;P8 A190;Theorie de Hypermedia;Philippe BOOTZ
22/10/13;12:00:00;15:00:00;UE - PERF;P8 A190;Langages Hypermedias;Samuel SZONIECK
22/10/13;15:00:00;18:00:00;UE - PERF;P8 A175;E-Services;Imad SALEH
23/10/13;09:00:00;12:00:00;UE - ATDH;P8 A190;Design & Hypermedia;Imad SALEH
23/10/13;12:00:00;15:00:00;UE - AH;P8 A190;Les Outils de Conduite de Projets;Khaldoun ZREIK
04/11/13;12:28:00;15:00:00;UE - AH;P8 A175;Base de Donnees, Multimedia et Indexation;Nasreddine BOUHAI
05/11/13;09:15:00;12:00:00;UE - AH;P8 A190;Theorie de Hypermedia;Philippe BOOTZ
05/11/13;12:20:00;15:00:00;UE - PERF;P8 A190;Langages Hypermedias;Samuel SZONIECK
