Date,LieuAM,ModuleAM,ECAM,IntervenantAM,AMdeb,AMfin,LieuPM1,ModulePM1,ECPM1,IntervenantPM1,PM1deb,PM1fin,LieuPM2,ModulePM2,ECPM2,IntervenantPM2,PM2deb,PM2fin
21/09/13,?,,VACANCES,Aucun,09:00:00,12:00:00,?,,VACANCES,Aucun,12:00:00,15:00:00,?,,,,,
23/09/13,P8 A175,,UE1-EC2,Szoniecky,09:30:00,12:30:00,P8 A175,,UE1-EC2,Szoniecky,12:30:00,15:30:00,P8 A175,,,,,
24/09/13,?,,,,09:00:00,12:00:00,P8 A148,,,,12:00:00,15:00:00,?,,,,,
25/09/13,?,,,,09:00:00,12:00:00,PREF A4,,,,12:00:00,15:00:00,?,,,,,
26/09/13,?,,UE4-EC1,Entreprise,09:00:00,12:00:00,?,,UE4-EC2,Entreprise,12:00:00,15:00:00,?,,UE4-EC2,Entreprise,15:00:00,18:00:00
27/09/13,?,,UE4-EC1,Entreprise,09:00:00,12:00:00,?,,UE4-EC2,Entreprise,12:00:00,15:00:00,?,,UE4-EC2,Entreprise,15:00:00,18:00:00
28/09/13,?,,,,09:00:00,12:00:00,?,,,,12:00:00,15:00:00,?,,,,,
29/09/13,?,,,,09:00:00,12:00:00,?,,,,12:00:00,15:00:00,?,,,,,
30/09/13,P8 A175,,UE5_2-EC2,Nyeki,10:00:00,13:00:00,P8 A175,,UE5_2-EC2,Nyeki,13:00:00,16:00:00,P8 A175,,,,,
01/10/13,P8 A281,,UE2-EC2,Bouhai,09:00:00,12:00:00,P8 A148,,UE3-EC1,Kahtane,12:00:00,15:00:00,P8 A148,,,,15:00:00,18:00:00
02/10/13,P8 A148,,,,09:00:00,12:00:00,PREF A4,,UE3-EC2,Szoniecky,12:00:00,15:00:00,P8 A148,,,,,
03/10/13,?,,UE4-EC1,Entreprise,09:00:00,12:00:00,?,,UE4-EC2,Entreprise,12:00:00,15:00:00,?,,UE4-EC2,Entreprise,15:00:00,18:00:00
04/10/13,?,,UE4-EC1,Entreprise,09:00:00,12:00:00,?,,UE4-EC2,Entreprise,12:00:00,15:00:00,?,,UE4-EC2,Entreprise,15:00:00,18:00:00
05/10/13,?,,,,09:00:00,12:00:00,?,,,,12:00:00,15:00:00,?,,,,,
06/10/13,?,,,,09:00:00,12:00:00,?,,,,12:00:00,15:00:00,?,,,,,
07/10/13,P8 A175,,UE5_2-EC2,Nyeki,10:00:00,13:00:00,P8 A175,,UE5_2-EC2,Nyeki,13:00:00,16:00:00,P8 A175,,,,15:00:00,18:00:00
08/10/13,P8 A281,,UE2-EC2,Bouhai,09:00:00,12:00:00,P8 A148,,,,12:00:00,15:00:00,P8 A148,,UE2-EC3,Zivancevic,15:00:00,18:00:00
09/10/13,P8 A148,,,,09:00:00,12:00:00,IMA,,UE3-EC2,Szoniecky,14:00:00,17:00:00,P8 A148,,,,,
10/10/13,?,,UE4-EC1,Entreprise,09:00:00,12:00:00,?,,UE4-EC2,Entreprise,12:00:00,15:00:00,?,,UE4-EC2,Entreprise,15:00:00,18:00:00
11/10/13,?,,UE4-EC1,Entreprise,09:00:00,12:00:00,?,,UE4-EC2,Entreprise,12:00:00,15:00:00,?,,UE4-EC2,Entreprise,15:00:00,18:00:00
12/10/13,?,,,,09:00:00,12:00:00,?,,,,12:00:00,15:00:00,?,,,,,
13/10/13,?,,,,09:00:00,12:00:00,?,,,,12:00:00,15:00:00,?,,,,,
14/10/13,?,,,,09:00:00,12:00:00,P8 A175,,UE5_2-EC2,Yacoub,12:00:00,15:00:00,,,,,,
15/10/13,P8 A281,,UE2-EC2,Bouhai,09:00:00,12:00:00,P8 A148,,UE3-EC2,Szoniecky,12:00:00,15:00:00,?,,UE2-EC3,Zivancevic,15:00:00,18:00:00
16/10/13,H2PTM – CNAM,,UE1-EC2,Saleh,09:00:00,12:00:00,PREF A4,,,,12:00:00,15:00:00,H2PTM – CNAM,,UE1-EC2,Saleh,15:00:00,18:00:00
17/10/13,H2PTM – CNAM,,UE1-EC2,Saleh,09:00:00,12:00:00,,,,,12:00:00,15:00:00,H2PTM – CNAM,,UE1-EC2,Saleh,15:00:00,18:00:00
18/10/13,H2PTM – CNAM,,UE1-EC2,Saleh,09:00:00,12:00:00,,,,,12:00:00,15:00:00,H2PTM – CNAM,,UE1-EC2,Saleh,15:00:00,19:00:00
19/10/13,?,,,,09:00:00,12:00:00,?,,,,12:00:00,15:00:00,?,,,,,
20/10/13,?,,,,09:00:00,12:00:00,?,,,,12:00:00,15:00:00,?,,,,,
21/10/13,P8 A175,,,,09:00:00,12:00:00,P8 A175,,UE5_2-EC2,Yacoub,12:00:00,15:00:00,P8 A175,,UE5_2-EC2,Yacoub,15:00:00,18:00:00
